timestamp,domain,query_type,dns_server,ttl,nameservers,ip_addresses,response_time_ms,has_changed
2025-05-13 04:15:48,digitalpacific.com.au,NS,119.40.106.35,3600,"ns1.has.email,ns2.has.email","111.90.150.116",8,0
2025-05-13 04:15:49,digitalpacific.com.au,NS,119.40.106.36,3600,"ns1.has.email,ns2.has.email","111.90.150.116",8,0
2025-05-13 04:15:50,digitalpacific.com.au,NS,1.1.1.1,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","203.16.232.251",11,0
2025-05-13 04:16:00,digitalpacific.com.au,NS,162.159.25.173,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","203.16.232.250",50,0
2025-05-13 04:16:15,digitalpacific.com.au,A,119.40.106.35,3600,"ns1.has.email,ns2.has.email","111.90.150.116",7,0
2025-05-13 04:16:28,ubuntu.mirror.digitalpacific.com.au,A,119.40.106.36,3600,"ns1.has.email,ns2.has.email","111.90.150.116",7,0
2025-05-13 04:16:40,ubuntu.mirror.digitalpacific.com.au,A,1.1.1.1,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",25,0
2025-05-13 04:16:51,ubuntu.mirror.digitalpacific.com.au,A,162.159.25.173,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",10,0
2025-05-13 04:17:09,ubuntu.mirror.digitalpacific.com.au,SOA,119.40.106.35,3600,"ns1.has.email,ns2.has.email","111.90.150.116",10,0
2025-05-13 04:17:21,ubuntu.mirror.digitalpacific.com.au,SOA,119.40.106.36,3600,"ns1.has.email,ns2.has.email","111.90.150.116",192,0
2025-05-13 04:17:30,ubuntu.mirror.digitalpacific.com.au,SOA,1.1.1.1,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",78,0
2025-05-13 04:17:37,ubuntu.mirror.digitalpacific.com.au,SOA,162.159.25.173,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",14,0
2025-05-13 04:17:44,fedora.mirror.digitalpacific.com.au,NS,119.40.106.35,3600,"ns1.has.email,ns2.has.email","111.90.150.116",11,0
2025-05-13 04:17:45,fedora.mirror.digitalpacific.com.au,NS,119.40.106.36,3600,"ns1.has.email,ns2.has.email","111.90.150.116",9,0
2025-05-13 04:17:45,fedora.mirror.digitalpacific.com.au,NS,1.1.1.1,3600,"unknown.nameserver","203.16.232.200",,0
2025-05-13 04:17:45,fedora.mirror.digitalpacific.com.au,NS,162.159.25.173,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","",14,0
2025-05-13 04:17:47,fedora.mirror.digitalpacific.com.au,A,119.40.106.35,3600,"ns1.has.email,ns2.has.email","111.90.150.116",,0
2025-05-13 04:18:06,ubuntu.mirror.digitalpacific.com.au,A,119.40.106.36,3600,"ns1.has.email,ns2.has.email","111.90.150.116",8,0
2025-05-13 04:18:15,ubuntu.mirror.digitalpacific.com.au,A,1.1.1.1,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",24,0
2025-05-13 04:23:22,digitalpacific.com.au,NS,119.40.106.35,3600,"ns1.has.email,ns2.has.email","111.90.150.116",8,0
2025-05-13 04:23:23,digitalpacific.com.au,NS,119.40.106.36,3600,"ns1.has.email,ns2.has.email","111.90.150.116",7,0
2025-05-13 04:23:24,digitalpacific.com.au,NS,1.1.1.1,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","203.16.232.251",9,0
2025-05-13 04:23:33,digitalpacific.com.au,NS,162.159.25.173,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","203.16.232.250",23,0
2025-05-13 04:23:44,digitalpacific.com.au,A,119.40.106.35,3600,"ns1.has.email,ns2.has.email","111.90.150.116",9,0
2025-05-13 04:23:57,ubuntu.mirror.digitalpacific.com.au,A,119.40.106.36,3600,"ns1.has.email,ns2.has.email","111.90.150.116",7,0
2025-05-13 04:24:09,digitalpacific.com.au,NS,119.40.106.35,3600,"ns1.has.email,ns2.has.email","111.90.150.116",8,0
2025-05-13 04:24:10,digitalpacific.com.au,NS,119.40.106.36,3600,"ns1.has.email,ns2.has.email","111.90.150.116",8,0
2025-05-13 04:24:11,digitalpacific.com.au,NS,1.1.1.1,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","203.16.232.250",9,0
2025-05-13 04:24:19,digitalpacific.com.au,NS,162.159.25.173,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","203.16.232.250",49,0
2025-05-13 04:24:32,digitalpacific.com.au,A,119.40.106.35,3600,"ns1.has.email,ns2.has.email","111.90.150.116",8,0
2025-05-13 04:24:51,ubuntu.mirror.digitalpacific.com.au,A,119.40.106.36,3600,"ns1.has.email,ns2.has.email","111.90.150.116",8,0
2025-05-13 04:25:04,ubuntu.mirror.digitalpacific.com.au,A,1.1.1.1,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",24,0
2025-05-13 04:25:15,ubuntu.mirror.digitalpacific.com.au,A,162.159.25.173,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","203.16.232.200",10,0
2025-05-13 04:33:44,digitalpacific.com.au,NS,119.40.106.35,3600,"ns1.has.email,ns2.has.email","111.90.150.116",8,0
2025-05-13 04:33:46,digitalpacific.com.au,NS,119.40.106.36,3600,"ns1.has.email,ns2.has.email","111.90.150.116",8,0
2025-05-13 04:33:47,digitalpacific.com.au,NS,1.1.1.1,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","203.16.232.250",9,0
2025-05-13 04:33:58,digitalpacific.com.au,NS,162.159.25.173,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","203.16.232.251",23,0
2025-05-13 04:34:13,digitalpacific.com.au,A,119.40.106.35,3600,"ns1.has.email,ns2.has.email","111.90.150.116",8,0
2025-05-13 04:34:26,ubuntu.mirror.digitalpacific.com.au,A,119.40.106.36,3600,"ns1.has.email,ns2.has.email","111.90.150.116",8,0
2025-05-13 04:34:38,ubuntu.mirror.digitalpacific.com.au,A,1.1.1.1,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",68,0
2025-05-13 04:34:53,ubuntu.mirror.digitalpacific.com.au,A,162.159.25.173,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","203.16.232.200",9,0
2025-05-13 04:35:03,digitalpacific.com.au,NS,119.40.106.35,3600,"ns1.has.email,ns2.has.email","111.90.150.116",8,0
2025-05-13 04:35:05,digitalpacific.com.au,NS,119.40.106.36,3600,"ns1.has.email,ns2.has.email","111.90.150.116",7,0
2025-05-13 04:35:06,digitalpacific.com.au,NS,1.1.1.1,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","203.16.232.250",10,0
2025-05-13 04:35:11,digitalpacific.com.au,NS,119.40.106.35,3600,"ns1.has.email,ns2.has.email","111.90.150.116",8,0
2025-05-13 04:35:12,digitalpacific.com.au,NS,119.40.106.36,3600,"ns1.has.email,ns2.has.email","111.90.150.116",8,0
2025-05-13 04:35:13,digitalpacific.com.au,NS,1.1.1.1,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","203.16.232.250",525,0
2025-05-13 04:35:25,digitalpacific.com.au,NS,162.159.25.173,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","203.16.232.250",50,0
2025-05-13 04:37:47,digitalpacific.com.au,NS,119.40.106.35,3600,"ns1.has.email,ns2.has.email","111.90.150.116",7,0
2025-05-13 04:37:48,digitalpacific.com.au,NS,119.40.106.36,3600,"ns1.has.email,ns2.has.email","111.90.150.116",9,0
2025-05-13 04:37:50,digitalpacific.com.au,NS,1.1.1.1,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","203.16.232.250",37,0
2025-05-13 04:37:56,digitalpacific.com.au,NS,162.159.25.173,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","203.16.232.250",50,0
2025-05-13 04:37:58,digitalpacific.com.au,A,119.40.106.35,3600,"ns1.has.email,ns2.has.email","111.90.150.116",8,0
2025-05-13 04:38:01,ubuntu.mirror.digitalpacific.com.au,A,119.40.106.36,3600,"ns1.has.email,ns2.has.email","111.90.150.116",13,0
2025-05-13 04:38:05,ubuntu.mirror.digitalpacific.com.au,A,1.1.1.1,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",8,0
2025-05-13 04:38:09,digitalpacific.com.au,NS,119.40.106.35,3600,"ns1.has.email,ns2.has.email","111.90.150.116",8,0
2025-05-13 04:38:10,digitalpacific.com.au,NS,119.40.106.36,3600,"ns1.has.email,ns2.has.email","111.90.150.116",8,0
2025-05-13 04:38:11,digitalpacific.com.au,NS,1.1.1.1,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","203.16.232.250",9,0
2025-05-13 04:38:20,digitalpacific.com.au,NS,162.159.25.173,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","203.16.232.250",51,0
2025-05-13 04:38:22,digitalpacific.com.au,A,119.40.106.35,3600,"ns1.has.email,ns2.has.email","111.90.150.116",8,0
2025-05-13 04:38:26,ubuntu.mirror.digitalpacific.com.au,A,119.40.106.36,3600,"ns1.has.email,ns2.has.email","111.90.150.116",8,0
2025-05-13 04:38:29,ubuntu.mirror.digitalpacific.com.au,A,1.1.1.1,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",55,0
2025-05-13 04:38:31,ubuntu.mirror.digitalpacific.com.au,A,162.159.25.173,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",50,0
2025-05-13 04:38:33,ubuntu.mirror.digitalpacific.com.au,SOA,119.40.106.35,3600,"ns1.has.email,ns2.has.email","111.90.150.116",8,0
2025-05-13 04:38:36,ubuntu.mirror.digitalpacific.com.au,SOA,119.40.106.36,3600,"ns1.has.email,ns2.has.email","111.90.150.116",7,0
2025-05-13 04:38:39,ubuntu.mirror.digitalpacific.com.au,SOA,1.1.1.1,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",65,0
2025-05-13 04:38:41,ubuntu.mirror.digitalpacific.com.au,SOA,162.159.25.173,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",68,0
2025-05-13 04:38:42,fedora.mirror.digitalpacific.com.au,NS,119.40.106.35,3600,"ns1.has.email,ns2.has.email","111.90.150.116",8,0
2025-05-13 04:38:43,fedora.mirror.digitalpacific.com.au,NS,119.40.106.36,3600,"ns1.has.email,ns2.has.email","111.90.150.116",7,0
2025-05-13 04:38:45,fedora.mirror.digitalpacific.com.au,NS,1.1.1.1,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",38,0
2025-05-13 04:38:46,fedora.mirror.digitalpacific.com.au,NS,162.159.25.173,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",10,0
2025-05-13 04:38:48,fedora.mirror.digitalpacific.com.au,A,119.40.106.35,3600,"ns1.has.email,ns2.has.email","111.90.150.116",8,0
2025-05-13 04:38:52,ubuntu.mirror.digitalpacific.com.au,A,119.40.106.36,3600,"ns1.has.email,ns2.has.email","111.90.150.116",11,0
2025-05-13 04:38:55,ubuntu.mirror.digitalpacific.com.au,A,1.1.1.1,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",8,0
2025-05-13 04:38:56,ubuntu.mirror.digitalpacific.com.au,A,162.159.25.173,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",11,0
2025-05-13 04:38:58,ubuntu.mirror.digitalpacific.com.au,SOA,119.40.106.35,3600,"ns1.has.email,ns2.has.email","111.90.150.116",8,0
2025-05-13 04:39:01,ubuntu.mirror.digitalpacific.com.au,SOA,119.40.106.36,3600,"ns1.has.email,ns2.has.email","111.90.150.116",9,0
2025-05-13 04:39:04,ubuntu.mirror.digitalpacific.com.au,SOA,1.1.1.1,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",66,0
2025-05-13 04:39:06,ubuntu.mirror.digitalpacific.com.au,SOA,162.159.25.173,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",50,0
2025-05-13 04:39:08,ubuntu.mirror.digitalpacific.com.au,NS,119.40.106.35,3600,"ns1.has.email,ns2.has.email","111.90.150.116",7,0
2025-05-13 04:39:09,ubuntu.mirror.digitalpacific.com.au,NS,119.40.106.36,3600,"ns1.has.email,ns2.has.email","111.90.150.116",8,0
2025-05-13 04:39:10,ubuntu.mirror.digitalpacific.com.au,NS,1.1.1.1,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",70,0
2025-05-13 04:42:00,digitalpacific.com.au,NS,119.40.106.35,3600,"ns1.has.email,ns2.has.email","111.90.150.116",8,0
2025-05-13 04:42:01,digitalpacific.com.au,NS,119.40.106.36,3600,"ns1.has.email,ns2.has.email","111.90.150.116",8,0
2025-05-13 04:42:02,digitalpacific.com.au,NS,1.1.1.1,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","203.16.232.251",8,0
2025-05-13 04:42:11,digitalpacific.com.au,NS,162.159.25.173,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","203.16.232.251",64,0
2025-05-13 04:42:13,digitalpacific.com.au,A,119.40.106.35,3600,"ns1.has.email,ns2.has.email","111.90.150.116",8,0
2025-05-13 04:42:17,digitalpacific.com.au,A,119.40.106.36,3600,"ns1.has.email,ns2.has.email","111.90.150.116",8,0
2025-05-13 04:42:19,digitalpacific.com.au,A,1.1.1.1,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","203.16.232.200",8,0
2025-05-13 04:42:22,digitalpacific.com.au,A,162.159.25.173,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","203.16.232.200",63,0
2025-05-13 04:42:23,digitalpacific.com.au,SOA,119.40.106.35,3600,"ns1.has.email,ns2.has.email","111.90.150.116",7,0
2025-05-13 04:42:26,digitalpacific.com.au,SOA,119.40.106.36,3600,"ns1.has.email,ns2.has.email","111.90.150.116",8,0
2025-05-13 04:42:29,digitalpacific.com.au,SOA,1.1.1.1,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","203.16.232.250",23,0
2025-05-13 04:42:31,digitalpacific.com.au,SOA,162.159.25.173,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","203.16.232.250",50,0
2025-05-13 04:42:32,fedora.mirror.digitalpacific.com.au,NS,119.40.106.35,3600,"ns1.has.email,ns2.has.email","111.90.150.116",8,0
2025-05-13 04:42:33,fedora.mirror.digitalpacific.com.au,NS,119.40.106.36,3600,"ns1.has.email,ns2.has.email","111.90.150.116",7,0
2025-05-13 04:42:34,fedora.mirror.digitalpacific.com.au,NS,1.1.1.1,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",8,0
2025-05-13 04:42:36,fedora.mirror.digitalpacific.com.au,NS,162.159.25.173,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",10,0
2025-05-13 04:42:38,fedora.mirror.digitalpacific.com.au,A,119.40.106.35,3600,"ns1.has.email,ns2.has.email","111.90.150.116",8,0
2025-05-13 04:42:42,fedora.mirror.digitalpacific.com.au,A,119.40.106.36,3600,"ns1.has.email,ns2.has.email","111.90.150.116",13,0
2025-05-13 04:42:44,fedora.mirror.digitalpacific.com.au,A,1.1.1.1,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",175,0
2025-05-13 04:42:46,fedora.mirror.digitalpacific.com.au,A,162.159.25.173,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",51,0
2025-05-13 04:42:48,fedora.mirror.digitalpacific.com.au,SOA,119.40.106.35,3600,"ns1.has.email,ns2.has.email","111.90.150.116",7,0
2025-05-13 04:42:51,fedora.mirror.digitalpacific.com.au,SOA,119.40.106.36,3600,"ns1.has.email,ns2.has.email","111.90.150.116",14,0
2025-05-13 04:42:54,fedora.mirror.digitalpacific.com.au,SOA,1.1.1.1,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",216,0
2025-05-13 04:42:56,fedora.mirror.digitalpacific.com.au,SOA,162.159.25.173,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",62,0
2025-05-13 04:42:58,ubuntu.mirror.digitalpacific.com.au,NS,119.40.106.35,3600,"ns1.has.email,ns2.has.email","111.90.150.116",8,0
2025-05-13 04:42:59,ubuntu.mirror.digitalpacific.com.au,NS,119.40.106.36,3600,"ns1.has.email,ns2.has.email","111.90.150.116",8,0
2025-05-13 04:43:00,ubuntu.mirror.digitalpacific.com.au,NS,1.1.1.1,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",9,0
2025-05-13 04:43:01,ubuntu.mirror.digitalpacific.com.au,NS,162.159.25.173,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",22,0
2025-05-13 04:43:03,ubuntu.mirror.digitalpacific.com.au,A,119.40.106.35,3600,"ns1.has.email,ns2.has.email","111.90.150.116",7,0
2025-05-13 04:43:07,ubuntu.mirror.digitalpacific.com.au,A,119.40.106.36,3600,"ns1.has.email,ns2.has.email","111.90.150.116",7,0
2025-05-13 04:43:09,ubuntu.mirror.digitalpacific.com.au,A,1.1.1.1,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",70,0
2025-05-13 04:43:11,ubuntu.mirror.digitalpacific.com.au,A,162.159.25.173,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",9,0
2025-05-13 04:43:13,ubuntu.mirror.digitalpacific.com.au,SOA,119.40.106.35,3600,"ns1.has.email,ns2.has.email","111.90.150.116",8,0
2025-05-13 04:43:16,ubuntu.mirror.digitalpacific.com.au,SOA,119.40.106.36,3600,"ns1.has.email,ns2.has.email","111.90.150.116",7,0
2025-05-13 04:43:18,ubuntu.mirror.digitalpacific.com.au,SOA,1.1.1.1,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",9,0
2025-05-13 04:43:20,ubuntu.mirror.digitalpacific.com.au,SOA,162.159.25.173,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",23,0
2025-05-13 11:47:37,digitalpacific.com.au,NS,119.40.106.35,3600,"ns1.has.email,ns2.has.email","111.90.150.116",7,0
2025-05-13 11:47:38,digitalpacific.com.au,NS,119.40.106.36,3600,"ns1.has.email,ns2.has.email","111.90.150.116",9,0
2025-05-13 11:47:39,digitalpacific.com.au,NS,1.1.1.1,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","203.16.232.251",24,0
2025-05-13 11:47:45,digitalpacific.com.au,NS,162.159.25.173,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","203.16.232.251",51,0
2025-05-13 11:47:47,digitalpacific.com.au,A,119.40.106.35,3600,"ns1.has.email,ns2.has.email","111.90.150.116",7,0
2025-05-13 11:48:02,digitalpacific.com.au,A,119.40.106.36,3600,"ns1.has.email,ns2.has.email","111.90.150.116",10,0
2025-05-13 11:48:05,digitalpacific.com.au,A,1.1.1.1,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","203.16.232.200",11,0
2025-05-13 11:48:07,digitalpacific.com.au,A,162.159.25.173,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","203.16.232.200",12,0
2025-05-13 11:48:09,digitalpacific.com.au,SOA,119.40.106.35,3600,"ns1.has.email,ns2.has.email","111.90.150.116",8,0
2025-05-13 11:48:12,digitalpacific.com.au,SOA,119.40.106.36,3600,"ns1.has.email,ns2.has.email","111.90.150.116",9,0
2025-05-13 11:48:15,digitalpacific.com.au,SOA,1.1.1.1,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","203.16.232.250",25,0
2025-05-13 11:48:18,digitalpacific.com.au,SOA,162.159.25.173,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","203.16.232.250",52,0
2025-05-13 11:48:20,fedora.mirror.digitalpacific.com.au,NS,119.40.106.35,3600,"ns1.has.email,ns2.has.email","111.90.150.116",98,0
2025-05-13 11:48:21,fedora.mirror.digitalpacific.com.au,NS,119.40.106.36,3600,"ns1.has.email,ns2.has.email","111.90.150.116",216,0
2025-05-13 11:48:22,fedora.mirror.digitalpacific.com.au,NS,1.1.1.1,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",273,0
2025-05-13 11:48:25,fedora.mirror.digitalpacific.com.au,NS,162.159.25.173,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",179,0
2025-05-13 11:48:27,fedora.mirror.digitalpacific.com.au,A,119.40.106.35,3600,"ns1.has.email,ns2.has.email","111.90.150.116",8,0
2025-05-13 11:48:40,fedora.mirror.digitalpacific.com.au,A,119.40.106.36,3600,"ns1.has.email,ns2.has.email","111.90.150.116",8,0
2025-05-13 11:48:43,fedora.mirror.digitalpacific.com.au,A,1.1.1.1,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",218,0
2025-05-13 11:48:45,fedora.mirror.digitalpacific.com.au,A,162.159.25.173,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",50,0
2025-05-13 11:48:47,fedora.mirror.digitalpacific.com.au,SOA,119.40.106.35,3600,"ns1.has.email,ns2.has.email","111.90.150.116",100,0
2025-05-13 11:48:50,fedora.mirror.digitalpacific.com.au,SOA,119.40.106.36,3600,"ns1.has.email,ns2.has.email","111.90.150.116",24,0
2025-05-13 11:48:53,fedora.mirror.digitalpacific.com.au,SOA,1.1.1.1,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",226,0
2025-05-13 11:48:55,fedora.mirror.digitalpacific.com.au,SOA,162.159.25.173,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",217,0
2025-05-13 11:48:58,ubuntu.mirror.digitalpacific.com.au,NS,119.40.106.35,3600,"ns1.has.email,ns2.has.email","111.90.150.116",186,0
2025-05-13 11:48:59,ubuntu.mirror.digitalpacific.com.au,NS,119.40.106.36,3600,"ns1.has.email,ns2.has.email","111.90.150.116",51,0
2025-05-13 11:49:00,ubuntu.mirror.digitalpacific.com.au,NS,1.1.1.1,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",81,0
2025-05-13 11:49:02,ubuntu.mirror.digitalpacific.com.au,NS,162.159.25.173,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",51,0
2025-05-13 11:49:04,ubuntu.mirror.digitalpacific.com.au,A,119.40.106.35,3600,"ns1.has.email,ns2.has.email","111.90.150.116",102,0
2025-05-13 11:49:18,ubuntu.mirror.digitalpacific.com.au,A,119.40.106.36,3600,"ns1.has.email,ns2.has.email","111.90.150.116",8,0
2025-05-13 11:49:20,ubuntu.mirror.digitalpacific.com.au,A,1.1.1.1,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",9,0
2025-05-13 11:49:22,ubuntu.mirror.digitalpacific.com.au,A,162.159.25.173,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",8,0
2025-05-13 11:49:24,ubuntu.mirror.digitalpacific.com.au,SOA,119.40.106.35,3600,"ns1.has.email,ns2.has.email","111.90.150.116",99,0
2025-05-13 11:49:27,ubuntu.mirror.digitalpacific.com.au,SOA,119.40.106.36,3600,"ns1.has.email,ns2.has.email","111.90.150.116",9,0
2025-05-13 11:49:30,ubuntu.mirror.digitalpacific.com.au,SOA,1.1.1.1,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",41,0
2025-05-13 11:49:33,ubuntu.mirror.digitalpacific.com.au,SOA,162.159.25.173,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",213,0
